OFFENSE;;;
RUSHING #;RUSHING YARDS;RUSHING AVG GAIN;
100;2075;230.6;
PASSING #;PASSING YARDS;PASSING AVG GAIN;
19;418;46;
TOTAL OFFENSE #;TOTAL OFFENSE YARDS;TOTAL OFFENSE AVG GAIN;
119;2493;20.9;
DEFENSE;;;
RUSHING #;RUSHING YARDS;RUSHING AVG GAIN;
211;1227;153.4;
PASSING #;PASSING YARDS;PASSING AVG GAIN;
121;773;96.6;
TOTAL DEFENSE #;TOTAL DEFENSE YARDS;TOTAL DEFENSE AVG GAIN;
332;2000;250.0;
;;;
TOTAL FIRST DOWNS;;;
126;;;
RUSHING;PASSING;;
43;18;;
PENALTY;PENALTIES AGAINST;;
7;43;;
YARDS;AVERAGE;;
406;50.8;;
TOTAL POINTS SCORED;TOTAL POINTS ALLOWED;;
253;216;;