SCORING;25;107;
Points per Game;4,2;17,8;
FIRST DOWNS;37;67;
Rushing;21;29;
Passing;9;34;
Penalty;7;4;
RUSHING YARDAGE;352;365;
Yards gained rushing;565;532;
Yards lost rushing;213;167;
Rushing Attemps;162;149;
Average Per Rush;2,2;2,4;
Average Per Game;58,7;60,8;
TDs Rushing;2;6;
PASSING YARDAGE;246;784;
Att-Comp-Int;90-39-4;129-58-5;
Average Per Pass;2,7;6,1;
Average Per Catch;6,3;13,5;
Average Per Game;41,0;130,7;
TDs Passing;1;9;
TOTAL OFFENSE;598;1149;
Total Plays;252;278;
Average Per Play;2,4;4,1;
Average Per Game;99,7;191,5;